"gene","proteinSearched","EnsemblID","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","todaysDate","healthyControl_2","healthyControl_3","healthyControl_4","healthyControl_5","healthyControl_6","healthyControl_7","healthyControl_8","healthyControl_9","healthyControl_10","healthyControl_13","healthyControl_14","healthyControl_15","healthyControl_16","healthyControl_17","healthyControl_18","healthyControl_19","healthyControl_20","healthyControl_21","acuteLymeDisease_1","acuteLymeDisease_2","acuteLymeDisease_3","acuteLymeDisease_4","acuteLymeDisease_5","acuteLymeDisease_6","acuteLymeDisease_8","acuteLymeDisease_9","acuteLymeDisease_10","acuteLymeDisease_11","acuteLymeDisease_12","acuteLymeDisease_13","acuteLymeDisease_14","acuteLymeDisease_15","acuteLymeDisease_16","acuteLymeDisease_17","acuteLymeDisease_18","acuteLymeDisease_19","acuteLymeDisease_20","acuteLymeDisease_21","acuteLymeDisease_22","acuteLymeDisease_23","acuteLymeDisease_24","acuteLymeDisease_25","acuteLymeDisease_26","acuteLymeDisease_27","acuteLymeDisease_28","Antibodies_1month_1","Antibodies_1month_2","Antibodies_1month_3","Antibodies_1month_4","Antibodies_1month_5","Antibodies_1month_6","Antibodies_1month_7","Antibodies_1month_8","Antibodies_1month_9","Antibodies_1month_10","Antibodies_1month_11","Antibodies_1month_13","Antibodies_1month_14","Antibodies_1month_15","Antibodies_1month_16","Antibodies_1month_17","Antibodies_1month_18","Antibodies_1month_19","Antibodies_1month_20","Antibodies_1month_21","Antibodies_1month_22","Antibodies_1month_23","Antibodies_1month_24","Antibodies_1month_25","Antibodies_1month_26","Antibodies_1month_27","Antibodies_6months_1","Antibodies_6months_2","Antibodies_6months_3","Antibodies_6months_4","Antibodies_6months_5","Antibodies_6months_6","Antibodies_6months_7","Antibodies_6months_8","Antibodies_6months_9","healthy_Median","acuteLymeDisease_Median","antibodies_1month_Median","antibodies_6month_Median","acuteHealthy_foldChange","antibodies_1month_healthy_foldChange","antibodies_6month_healthy_foldchange"
"ACSBG2","protein","ENSG00000130377","                                            ACSBG2 (Acyl-CoA Synthetase Bubblegum Family Member 2) is a Protein Coding gene.                                                                                        Among its related pathways are Fatty acid biosynthesis (KEGG) and Adipocytokine signaling pathway.                                            Gene Ontology (GO) annotations related to this gene include long-chain fatty acid-CoA ligase activity and acyl-CoA hydrolase activity.                                            An important paralog of this gene is ACSBG1.","                                            ACSBG2 (Acyl-CoA Synthetase Bubblegum Family Member 2) is a Protein Coding gene.                                                                                        Among its related pathways are Fatty acid biosynthesis (KEGG) and Adipocytokine signaling pathway.                                            Gene Ontology (GO) annotations related to this gene include long-chain fatty acid-CoA ligase activity and acyl-CoA hydrolase activity.                                            An important paralog of this gene is ACSBG1.","Catalyzes the conversion of fatty acids such as long chain and very long-chain fatty acids to their active form acyl-CoAs for both synthesis of cellular lipids, and degradation via beta-oxidation. Can activate diverse saturated, monosaturated and polyunsaturated fatty acids (PubMed:16371355, PubMed:16762313). Has increased ability to activate oleic and linoleic acid (PubMed:16371355). May play a role in spermatogenesis (PubMed:15685348).
                         ACBG2_HUMAN,Q5FVE4
                         ","Fri Aug 28 13:19:00 2020",-0.000473,-0.3465693,-0.4308915,-0.28665137,-0.05343008,0.16477442,-0.27290678,0.3363018,0.003330708,-0.096868515,0.8911748,0.20014453,-0.46773553,0.2908182,0.061555862,0.09557843,-0.1674788,0.000473,-0.37306237,-0.11019635,0.122834206,0.2088356,-0.014029741,0.6686299,-0.5056386,0.016005993,-0.23206949,-0.12327981,0.17434478,0.10875535,-0.39628315,-0.33192587,0.027388811,0.04288292,0.91426706,0.34035206,-0.51046634,-0.27262974,0.58497405,-0.373312,-0.21007013,0.4281044,-0.0573771,-0.03864789,-0.35353875,0.8810699,-0.088605404,-0.17112875,0.16759658,-0.3285768,-0.24365997,-0.19521403,-0.09461236,-0.16300273,-0.24413586,0.011228085,0.04530716,-0.03228903,-0.09927821,0.062026978,0.18266249,-0.35144234,-0.22761512,-0.58055973,-0.06942272,0.26903915,0.19490337,0.15401125,-0.270787,0.1663444,-0.029741764,0.9298253,-0.4626174,0.4176662,0.14531684,0.041003227,0.38715005,0.1615994,0.16135812,-0.070001364,-0.000473,-0.37306237,0.8810699,0.9298253,788.715369978858,-1862.72706131078,-1965.80401691332
"ANKRD54","protein","ENSG00000100124","                                            ANKRD54 (Ankyrin Repeat Domain 54) is a Protein Coding gene.                                            Diseases associated with ANKRD54 include Neurotic Excoriation and Factitious Disorder.                                                                                        Gene Ontology (GO) annotations related to this gene include protein kinase regulator activity.                                            An important paralog of this gene is ANKRD61.","                                            ANKRD54 (Ankyrin Repeat Domain 54) is a Protein Coding gene.                                            Diseases associated with ANKRD54 include Neurotic Excoriation and Factitious Disorder.                                                                                        Gene Ontology (GO) annotations related to this gene include protein kinase regulator activity.                                            An important paralog of this gene is ANKRD61.","Plays an important role in regulating intracellular signaling events associated with erythroid terminal differentiation.
                         ANR54_HUMAN,Q6NXT1
                         ","Fri Aug 28 13:18:49 2020",-0.000292,0.566298,-0.16441774,-0.350636,0.115540504,-0.22271442,0.0714097,-0.16087961,-0.11495495,0.17532921,-0.25190496,0.28648472,-0.47440577,-0.41355467,0.61579514,0.26683855,-0.3477087,-0.14746857,0.3817067,-0.1173377,-0.035557747,0.037929535,-0.22667742,-0.10629225,0.23670483,-0.17606354,-0.041598797,0.25061178,0.13008451,0.000292,0.060852528,0.40846014,0.06473875,-0.022484303,-0.000909,-0.34113026,-0.0574193,-0.27526236,-0.35568953,0.76133347,0.3060069,0.1277008,-0.30823946,0.3734479,-0.4756341,0.59639883,0.40839052,0.27642775,-0.39512062,0.20622206,0.21111393,-0.080803394,-0.043460846,0.21848297,0.2098012,-0.18856668,0.059051037,0.017827988,0.055583477,0.28485823,0.69604015,-0.27080727,0.056972504,0.39782238,-0.028691292,0.56481695,-0.23458624,0.056811333,-0.2532134,0.053563118,-0.041466236,-0.4561305,-0.3030963,0.59990835,-0.002901077,0.2258954,0.003199577,-0.045213223,-0.15904474,-0.6274531,-0.000292,0.3817067,0.59639883,-0.4561305,-1307.2147260274,-2042.46174657534,1562.09075342466
"ATP5G3","protein","ENSG00000154518","This gene encodes a subunit of mitochondrial ATP synthase. Mitochondrial ATP synthase catalyzes ATP synthesis, utilizing an electrochemical gradient of protons across the inner membrane during oxidative phosphorylation. ATP synthase is composed of two linked multi-subunit complexes: the soluble catalytic core, F1, and the membrane-spanning component, Fo, comprising the proton channel. The catalytic portion of mitochondrial ATP synthase consists of 5 different subunits (alpha, beta, gamma, delta, and epsilon) assembled with a stoichiometry of 3 alpha, 3 beta, and a single representative of the other 3. The proton channel seems to have nine subunits (a, b, c, d, e, f, g, F6 and 8). This gene is one of three genes that encode subunit c of the proton channel. Each of the three genes have distinct mitochondrial import sequences but encode the identical mature protein. Alternatively spliced transcript variants encoding different proteins have been identified. [provided by RefSeq, Jun 2010]","                                            ATP5MC3 (ATP Synthase Membrane Subunit C Locus 3) is a Protein Coding gene.                                                                                        Among its related pathways are Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. and Parkinson disease.                                                                                        An important paralog of this gene is ATP5MC2.","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(0) domain. A homomeric c-ring of probably 10 subunits is part of the complex rotary element.
                         AT5G3_HUMAN,P48201
                         ","Fri Aug 28 13:19:01 2020",-0.000425100000000001,-0.511239055,0.328464035,0.36741305,-0.25488949,0.420725825,-0.440415865,-0.0490389925,0.0164084435,-0.344622135,-0.24881912,-0.6193657,0.102710724,-0.056662085,-0.349299435,-1.11281965,-0.01303196,-0.439873695,-0.317964075,0.162617925,0.22491455,0.26620007,0.149225,-0.17542768,-0.1935040935,0.054454432,0.198604585,-0.44976306,-0.20764542,0.044350624,0.01946449,0.45936393,0.24477792,-0.345100875,-0.45792295,-0.46810675,-0.05706382,-0.700989,0.026443006,0.439960485,0.116882087,0.386070015,0.104404215,0.14385223,0.4076891,0.139652965,-0.559587,0.45457888,0.058309555,0.41324425,0.030069828,-1.2558873,-0.36666608,0.17599463,-0.330640315,-0.59432495,0.36266923,0.0614223485,-0.386779795,-0.24948883,-0.76836182,0.37477063,0.078618765,0.161280635,0.36579275,0.51336384,-0.2049508125,-0.012036085,0.18662977,-0.28208876,0.502640715,-0.92838645,0.339209555,-0.521710865,-0.52223873,-0.26948428,-0.09154582,0.089333775,0.0445272925,-0.007192135,-0.000425100000000001,-0.317964075,0.139652965,-0.92838645,747.9747706422,-328.517913432133,2183.92484121383
"CBX3","protein","ENSG00000122565","At the nuclear envelope, the nuclear lamina and heterochromatin are adjacent to the inner nuclear membrane. The protein encoded by this gene binds DNA and is a component of heterochromatin. This protein also can bind lamin B receptor, an integral membrane protein found in the inner nuclear membrane. The dual binding functions of the encoded protein may explain the association of heterochromatin with the inner nuclear membrane. This protein binds histone H3 tails methylated at Lys-9 sites. This protein is also recruited to sites of ultraviolet-induced DNA damage and double-strand breaks. Two transcript variants encoding the same protein but differing in the 5' UTR, have been found for this gene.[provided by RefSeq, Mar 2011]","                                            CBX3 (Chromobox 3) is a Protein Coding gene.                                            Diseases associated with CBX3 include Hyperoxaluria, Primary, Type I and Carbohydrate Metabolic Disorder.                                            Among its related pathways are Shigellosis and Chromatin Regulation / Acetylation.                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and protein domain specific binding.                                            An important paralog of this gene is CBX1.","Seems to be involved in transcriptional silencing in heterochromatin-like complexes. Recognizes and binds histone H3 tails methylated at 'Lys-9', leading to epigenetic repression. May contribute to the association of the heterochromatin with the inner nuclear membrane through its interaction with lamin B receptor (LBR). Involved in the formation of functional kinetochore through interaction with MIS12 complex proteins. Contributes to the conversion of local chromatin to a heterochromatin-like repressive state through H3 'Lys-9' trimethylation, mediates the recruitment of the methyltransferases SUV39H1 and/or SUV39H2 by the PER complex to the E-box elements of the circadian target genes such as PER2 itself or PER1. Mediates the recruitment of NIPBL to sites of DNA damage at double-strand breaks (DSBs) (PubMed:28167679).
                         CBX3_HUMAN,Q13185
                         ","Fri Aug 28 13:18:55 2020",-0.000125,-1.7114205,0.19109297,0.4702897,-0.253932,-0.011331558,-0.235178,0.28540277,-0.13968897,-0.5243702,-0.18705845,-0.33979368,0.105285645,0.23474026,-0.800735,1.2745638,-0.021671772,-0.20451355,-0.53923607,0.10833073,0.4036498,0.08420992,-0.1926527,0.25124264,0.11890888,-0.08609104,-0.23695183,-0.15409231,0.00078,0.3763299,0.3285284,0.50898933,0.44403172,0.075500965,-0.082834244,-0.7051916,-0.26455402,-0.45005655,-0.14954424,-0.12609339,0.5255413,0.4755478,0.8300657,0.6707325,0.6542578,-0.103360176,0.015377045,-0.08747101,-0.010879517,0.36080503,-0.16855526,-0.33619595,0.03531599,-0.067120075,-0.1879282,-0.15341854,0.09786844,0.002303124,0.079144955,-0.4256525,-0.08699894,0.16593933,0.023933887,-0.024979591,0.05465126,-0.28821802,0.6020546,0.23072147,0.31355572,-0.06773758,0.50624514,-0.13064718,0.08159542,-0.33348894,-0.12522459,-0.5016737,-0.1528287,0.4047203,0.3745489,0.5064521,-0.000125,-0.03923607,-0.103360176,-0.13064718,313.88856,826.881408,1045.17744
"CCDC15","protein","ENSG00000149548","                                            CCDC15 (Coiled-Coil Domain Containing 15) is a Protein Coding gene.                                                                                                                                                                                ","                                            CCDC15 (Coiled-Coil Domain Containing 15) is a Protein Coding gene.                                                                                                                                                                                ","no summary","Fri Aug 28 13:18:54 2020",0.000232,-0.29044294,0.05393195,-0.34842014,0.046236515,-0.123441696,0.3103199,-0.10090375,-0.2630155,0.2669611,-0.05143547,-0.029395342,0.25042462,-0.024291992,0.13168454,1.1279104,-0.00639534,0.34203887,-0.055081844,-0.16784596,0.118857145,0.04378414,-0.20532608,-0.16174221,-0.002084971,0.00126195,-0.2578063,-0.21535873,0.86998796,-0.18613863,-0.16996193,-0.16377306,0.08919501,0.05608201,0.1431508,-0.12640858,0.1979835,0.015464067,0.01731062,0.94597626,-0.005882263,0.08194947,0.044408083,-0.007634163,0.09338188,0.31182098,0.2463479,-0.034590244,-0.06407404,0.035194635,-0.077358484,-0.16758418,0.28222585,0.83217263,-0.004029274,-0.3593397,-0.19913769,0.30608392,0.2049582,0.21210003,0.06217885,-0.1877327,0.4330659,-0.051445007,-0.025576115,-0.09690857,0.031236172,0.72018814,0.13745832,0.14907432,0.060438633,-0.014528036,0.06412935,-0.040042877,-0.000232,0.14881563,-0.024006367,-0.3089714,-0.18662643,-0.17096472,0.000232,-0.055081844,0.31182098,-0.014528036,-237.42174137931,1344.05594827586,-62.6208448275862
"COX7A2L","protein","ENSG00000115944","Cytochrome c oxidase (COX), the terminal component of the mitochondrial respiratory chain, catalyzes the electron transfer from reduced cytochrome c to oxygen. This component is a heteromeric complex consisting of 3 catalytic subunits encoded by mitochondrial genes and multiple structural subunits encoded by nuclear genes. The mitochondrially-encoded subunits function in electron transfer, and the nuclear-encoded subunits may function in the regulation and assembly of the complex. This nuclear gene encodes a protein similar to polypeptides 1 and 2 of subunit VIIa in the C-terminal region, and also highly similar to the mouse Sig81 protein sequence. This gene is expressed in all tissues, and upregulated in a breast cancer cell line after estrogen treatment. It is possible that this gene represents a regulatory subunit of COX and mediates the higher level of energy production in target cells by estrogen. Several transcript variants, some protein-coding and others non-protein coding, have been found for this gene. [provided by RefSeq, Jan 2016]","                                            COX7A2L (Cytochrome C Oxidase Subunit 7A2 Like) is a Protein Coding gene.                                                                                        Among its related pathways are Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. and Cardiac muscle contraction.                                            Gene Ontology (GO) annotations related to this gene include electron transfer activity and cytochrome-c oxidase activity.                                            An important paralog of this gene is COX7A2.","Involved in the regulation of oxidative phosphorylation and energy metabolism (By similarity). Necessary for the assembly of mitochondrial respiratory supercomplex (By similarity).
                         COX7R_HUMAN,O14548
                         ","Fri Aug 28 13:17:16 2020",4.76835000000004e-05,-0.0164659,0.43407607,0.2304618365,0.1283299935,0.262665985,-0.010291335,0.356651545,0.26779318,0.14552045,-0.714374535,-0.1877934925,-0.03251767,-0.028788805,0.221882105,-1.55659055,0.22421503,-0.056369067,0.0806181455,-0.12719464,-0.12662268,-0.003058195,0.18581319,-0.374825715,-0.136287449,-0.651240815,-0.25308443,-0.165682075,-0.043631791,-0.224448205,0.0199523,0.453106875,-0.0878884775,0.0015921575,-0.791509865,-0.24880147,-0.06599236,-0.437065615,-0.34950662,-0.14011979,-0.12310338,-0.317094085,0.109847068,0.256834271,0.0972387775,0.17756868,-0.435505155,0.150315525,0.221014023,0.42485069,0.2677364375,-1.1037917,-0.1213758,0.15340352,0.1026566025,-0.07053876,0.374334335,-0.16792178,0.2777884025,-0.48175456,0.05044484,0.038031815,-0.293196435,-0.174816373,0.097289084,0.14484477,0.1093985,0.080078125,0.0896768585,-0.200534819,0.46420502,-0.219091415,0.2916131,-0.289516928,-0.404513595,0.09805751,-0.062458752,-0.0591681,-0.028767345,-0.3951933525,4.76835000000004e-05,0.0806181455,0.17756868,-0.219091415,1690.69270292658,3723.90197867184,-4594.70078748411
"CSK","protein","ENSG00000103653","The protein encoded by this gene is involved in multiple pathways, including the regulation of Src family kinases. It plays an important role in T-cell activation through its association with the protein encoded by the protein tyrosine phosphatase, non-receptor type 22 (PTPN22) gene. This protein also phosphorylates C-terminal tyrosine residues on multiple substrates, including the protein encoded by the SRC proto-oncogene, non-receptor tyrosine kinase gene. Phosphorylation suppresses the kinase activity of the Src family tyrosine kinases. An intronic polymorphism (rs34933034) in this gene has been found to affect B-cell activation and is associated with systemic lupus erythematosus (SLE). Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2017]","                                            CSK (C-Terminal Src Kinase) is a Protein Coding gene.                                            Diseases associated with CSK include Osteopetrosis and Lupus Erythematosus.                                            Among its related pathways are RET signaling and B cell receptor signaling pathway (KEGG).                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and protein kinase activity.                                            An important paralog of this gene is MATK.","Non-receptor tyrosine-protein kinase that plays an important role in the regulation of cell growth, differentiation, migration and immune response. Phosphorylates tyrosine residues located in the C-terminal tails of Src-family kinases (SFKs) including LCK, SRC, HCK, FYN, LYN, CSK or YES1. Upon tail phosphorylation, Src-family members engage in intramolecular interactions between the phosphotyrosine tail and the SH2 domain that result in an inactive conformation. To inhibit SFKs, CSK is recruited to the plasma membrane via binding to transmembrane proteins or adapter proteins located near the plasma membrane. Suppresses signaling by various surface receptors, including T-cell receptor (TCR) and B-cell receptor (BCR) by phosphorylating and maintaining inactive several positive effectors such as FYN or LCK.
                         CSK_HUMAN,P41240
                         ","Fri Aug 28 13:18:57 2020",-0.000381708500000001,0.561927085,-0.1942091,-0.498827695,0.252115965,0.52508235,0.37454652,-0.122354985,-0.365715505,0.017441987,-0.169193271,-0.3198924,-0.16115308,-0.0064852235,-0.0068862435,-0.696780675,-0.74334048,-0.009949043,0.25534129,-0.112323523,0.234606505,-0.093270065,0.097447158,0.092233895,-0.01986146,-1.09443545,0.658068895,0.22753334,0.49797176,0.17689728,0.54761385,0.141610385,0.17485118,0.40059972,0.33659935,0.27981329,0.43176365,0.2336764315,0.47476816,-0.09025407,0.21630573,-0.0024638175,-0.46717906,-0.30298352,-0.931298495,0.47918345,-0.1649501305,0.0215241905,-0.32702995,-0.058248757,0.50203825,0.0982077135,0.010960817,0.50758125,-0.194220305,-0.15323639,-0.52236865,-0.109574558,0.270487785,0.40306616,-0.002991438,-2.7221057,0.398210045,0.29101467,0.0213079445,-0.676221845,0.18713498,-2.31568265,0.230432035,-0.09192109,0.0341017245,-0.0780472735,-0.499844315,0.584813595,-0.445052375,-0.737046955,-1.0920198,0.0737061485,-0.176588295,-0.1395688045,-0.000381708500000001,-0.24465871,0.47918345,-0.0780472735,640.95693441461,-1255.36489231966,204.468261775674
"FEV","protein","ENSG00000163497","This gene belongs to the ETS transcription factor family. ETS family members have a highly conserved 85-amino acid ETS domain that binds purine-rich DNA sequences. The alanine-rich C-terminus of this gene indicates that it may act as a transcription repressor. This gene is exclusively expressed in neurons of the central serotonin (5-HT) system, a system implicated in the pathogeny of such psychiatric diseases as depression, anxiety, and eating disorders. In some types of Ewing tumors, this gene is fused to the Ewing sarcoma (EWS) gene following chromosome translocations. [provided by RefSeq, Jul 2008]","                                            FEV (FEV Transcription Factor, ETS Family Member) is a Protein Coding gene.                                            Diseases associated with FEV include Sudden Infant Death Syndrome and Ewing Sarcoma.                                            Among its related pathways are Transcriptional misregulation in cancer and Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways.                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and transcription corepressor activity.                                            An important paralog of this gene is FLI1.","Functions as a transcriptional regulator. According to PubMed:12761502, it functions as a transcriptional repressor. Functions in the differentiation and the maintenance of the central serotonergic neurons. May play a role in cell growth.
                         FEV_HUMAN,Q99581
                         ","Fri Aug 28 13:18:56 2020",-0.000398,0.17565227,0.12762785,-0.1330905,0.24572301,0.31936073,0.19239569,-0.40729237,-0.051212788,-0.21048164,-0.19452095,-0.12733841,0.016775608,-0.26088572,0.2570958,0.6237514,-0.10257149,-0.006409884,0.1873393,-0.22824907,-0.19514799,0.22075629,-0.21676016,-0.18850183,-0.27590322,0.06900501,-0.21148872,0.38839412,0.21690989,-0.12249088,-0.08297491,-0.15063,-0.021902084,-0.0455091,0.000574,0.4002521,-0.14013624,0.22927427,0.26297522,0.42393923,-0.17607594,-0.10256815,-0.40060925,0.041374445,-0.39624524,-0.24010086,0.17725825,-0.058308125,-0.44138002,-0.22181845,0.16572785,0.094745636,-0.04382372,0.03025341,0.5476351,-0.060786724,-0.32011223,0.042452097,0.06400156,0.025619507,0.38192844,0.018625975,-0.06312466,0.10970187,0.000398,0.6137059,-0.056578636,0.40672612,-0.17923117,0.17475748,-0.16330671,0.22027087,0.020679474,0.312284,0.079553604,-0.05359316,0.016824722,-0.04574871,-0.056529522,-0.14956093,-0.000398,0.1873393,-0.24010086,0.22027087,-470.70175879397,603.268492462312,-553.444396984925
"GEN1","protein","ENSG00000178295","This gene encodes a member of the Rad2/xeroderma pigmentosum group G nuclease family, whose members are characterized by N-terminal and internal xeroderma pigmentosum group G nuclease domains followed by helix-hairpin-helix domains and disordered C-terminal domains. The protein encoded by this gene is involved in resolution of Holliday junctions, which are intermediate four-way structures that covalently link DNA during homologous recombination and double-strand break repair. The protein resolves Holliday junctions by creating dual incisions across the junction to produce nicked duplex products that can be ligated. In addition, this protein has been found to localize to centrosomes where it has been implicated in regulation of centrosome integrity. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2016]","                                            GEN1 (GEN1 Holliday Junction 5' Flap Endonuclease) is a Protein Coding gene.                                            Diseases associated with GEN1 include Cefaclor Allergy and External Ear Disease.                                            Among its related pathways are Resolution of D-loop Structures through Holliday Junction Intermediates and Homologous DNA Pairing and Strand Exchange.                                            Gene Ontology (GO) annotations related to this gene include nuclease activity and crossover junction endodeoxyribonuclease activity.                                            An important paralog of this gene is EXO1.","Endonuclease which resolves Holliday junctions (HJs) by the introduction of symmetrically related cuts across the junction point, to produce nicked duplex products in which the nicks can be readily ligated. Four-way DNA intermediates, also known as Holliday junctions, are formed during homologous recombination and DNA repair, and their resolution is necessary for proper chromosome segregation (PubMed:19020614, PubMed:26682650). Cleaves HJs by a nick and counter-nick mechanism involving dual coordinated incisions that lead to the formation of ligatable nicked duplex products. Cleavage of the first strand is rate limiting, while second strand cleavage is rapid. Largely monomeric, dimerizes on the HJ and the first nick occurs upon dimerization at the junction (PubMed:26578604). Efficiently cleaves both single and double HJs contained within large recombination intermediates. Exhibits a weak sequence preference for incision between two G residues that reside in a T-rich region of DNA (PubMed:28049850). Has also endonuclease activity on 5'-flap and replication fork (RF) DNA substrates (PubMed:26578604).
                         GEN_HUMAN,Q17RS7
                         ","Fri Aug 28 13:17:13 2020",8.54e-05,-0.15560079,0.27449465,0.04338503,-0.24435472,-0.008971691,-0.33041573,0.22502875,-0.17910051,-0.35164022,0.3721876,-0.33998227,0.13763428,0.010224342,-0.4635973,1.5128403,-0.20416546,-0.15800047,0.4596095,0.07280874,0.12413883,0.004240513,-0.08424187,0.004420757,-0.1180768,0.48641968,-0.16484547,-0.3072238,-0.14264727,-0.118869066,0.22003937,0.36530113,-0.024596691,-0.08381033,-0.49133682,-0.44585466,-0.003105164,0.16075778,0.5503931,-0.019156694,-0.014035463,0.025987625,-0.23524451,0.20974207,-0.24009824,-0.027447224,0.14187098,-0.2613628,0.28137684,0.05640459,-0.19209146,0.3335476,-0.07779503,-0.2885146,-0.022092104,0.680264,0.49729443,0.21259308,-0.41066122,-0.0689497,0.08212805,0.42995453,-0.14939785,-0.34383512,0.15343189,-0.004240513,0.5588579,-0.17157078,0.18932676,0.3730693,-0.03862953,0.7457323,0.12857056,-0.1224041,0.06274271,0.60571814,0.31029224,-0.40429902,-0.09674597,-0.064175606,8.54e-05,0.4596095,-0.027447224,0.7457323,5381.84426229508,-321.39606557377,8732.22833723653
"GPR50","protein","ENSG00000102195","This gene product belongs to the G-protein coupled receptor 1 family. Even though this protein shares similarity with the melatonin receptors, it does not bind melatonin, however, it inhibits melatonin receptor 1A function through heterodimerization. Polymorphic variants of this gene have been associated with bipolar affective disorder in women. [provided by RefSeq, Jan 2010]","                                            GPR50 (G Protein-Coupled Receptor 50) is a Protein Coding gene.                                            Diseases associated with GPR50 include Major Depressive Disorder and Mental Retardation, X-Linked, Syndromic 13.                                            Among its related pathways are Neuroscience and Glucose / Energy Metabolism.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and melatonin receptor activity.                                            An important paralog of this gene is MTNR1A.","Does not bind melatonin.
                         MTR1L_HUMAN,Q13585
                         ","Fri Aug 28 13:19:02 2020",0.00035,0.15523767,-0.36674786,-0.22035718,0.71736956,-0.23012686,0.3898077,-0.017653465,-0.002222776,-0.22664952,0.41972542,0.085636616,0.3609867,0.08656478,-0.013908148,-0.13086152,0.16951513,0.42392206,-0.00035,-0.054916143,-0.008979321,0.002791166,-0.20953608,-0.072246075,-0.19168854,-0.1552074,-0.06326151,-0.09706879,-0.07303476,0.024586678,0.09847736,-0.15964699,0.13760877,-0.12132764,-0.0830524,-0.20101643,-0.035252094,0.61348724,0.587235,1.1153662,0.20138001,0.048526287,0.26949263,-0.104418516,0.07505798,-0.20259428,0.42486763,-0.56434107,-0.009039402,-0.21169043,-0.1866436,0.23158264,-0.0404644,0.19892073,0.13905549,0.115074635,-0.08914733,0.020964384,-0.10546327,-0.18574882,0.04980707,-0.007820845,-0.006675005,0.11678338,-0.025518179,-0.23246384,0.75176597,0.004985809,-0.28666973,0.3024161,-0.055216312,0.53345156,-0.003944159,0.123838186,0.8881972,0.088142395,-0.1215086,0.28913593,-0.12007451,0.003697634,0.00035,-0.00035,-0.20259428,0.53345156,-1,-578.8408,1524.14731428571
